Train Start,Train End,Val R2,Test R2,Validation Cumulative Return,Validation Sharpe Ratio,Test Sharpe,Test Return,Final Val Capital,Final Test Capital,Total Val Profit,Total Test Profit,Average PnL,Average PnL (%)
1990,2021-12-31,-0.5629005402040093,-0.3037246101180808,7.261344038668602,1.628652802413886,-0.5611912886449306,-0.6221938430137768,8261344.038668602,377806.1569862232,7261344.038668602,-622193.8430137768,-516.4897253433397,-0.0516489725343339
1991,2021-12-31,-0.1133035586058726,-0.4227190216994085,12.607958334109435,2.0109693281681773,-0.6189695081584533,-0.6433893295332109,13607958.334109437,356610.67046678904,12607958.334109437,-643389.329533211,-586.9014730949332,-0.0586901473094933
1992,2021-12-31,0.0439040646918964,-0.3935439873814867,101.15754019007944,3.3273812141876187,-0.7050424454991451,-0.649707812960465,102157540.19007944,350292.187039535,101157540.19007944,-649707.812960465,-657.1492200635937,-0.0657149220063593
1993,2021-12-31,-0.0880850375485058,-0.4811696437672803,83.77065491652476,3.272120355116706,-0.5700100384447311,-0.5616508560303005,84770654.91652477,438349.1439696995,83770654.91652477,-561650.8560303005,-498.8405200760447,-0.0498840520076044
1994,2021-12-31,-0.0777564941298325,-0.4601842766186605,27.767293769773183,2.501788473256456,-0.4202836575094162,-0.4418919173970091,28767293.769773185,558108.0826029908,27767293.769773185,-441891.9173970091,-319.6518519435807,-0.031965185194358
1995,2021-12-31,-0.0775155445989455,-0.3216098708591262,12.320018343973585,1.9370845231849003,-0.4299919396412461,-0.4303871548864748,13320018.343973584,569612.8451135252,12320018.343973584,-430387.1548864748,-327.0245580192764,-0.0327024558019276
1996,2021-12-31,-0.1698331461796864,-0.3985809030600815,5.370626314279813,1.3905874421941655,-0.4096695897004891,-0.4013148342472745,6370626.314279813,598685.1657527254,5370626.314279813,-401314.83424727456,-302.3434182898252,-0.0302343418289825
1997,2021-12-31,-0.1847296608238067,-0.3826285136363041,2.149678092961952,0.8677582279939885,-0.368033551369781,-0.3573898086599169,3149678.092961952,642610.1913400831,2149678.092961952,-357389.80865991686,-254.6467864936539,-0.0254646786493653
1998,2021-12-31,-0.4043310485855664,-0.7316923065903944,1.2907279533012894,0.6322339122787424,-0.461598437002047,-0.4127587399383754,2290727.953301289,587241.2600616246,1290727.9533012894,-412758.7399383754,-358.79137697304685,-0.0358791376973046
1999,2021-12-31,-0.4201212323884198,-1.0568661779797788,1.7768383378659434,0.7932433955690221,-0.4465092561985518,-0.3927927989515081,2776838.337865943,607207.201048492,1776838.337865943,-392792.79895150807,-343.02231002271657,-0.0343022310022716
2000,2021-12-31,-0.3078232400231242,-1.0321241113405697,5.138109074863416,1.4577280879296124,-0.2941768441601314,-0.2736791358004682,6138109.074863416,726320.8641995317,5138109.074863416,-273679.1358004682,-171.8076127970484,-0.0171807612797048
2001,2021-12-31,0.009355299510249,-0.0207970417264011,4.931808351274853,1.486089728601074,-0.2561639172824712,-0.2369612964003522,5931808.351274853,763038.7035996477,4931808.351274853,-236961.29640035224,-128.13781862074103,-0.0128137818620741
2002,2021-12-31,-0.0199367045861418,-0.0023782243092758,5.071504431184595,2.19417701278325,,0.0,6071504.4311845945,1000000.0,5071504.4311845945,0.0,0.0,0.0
2003,2021-12-31,-0.1813007335645635,-0.0006668068320554,12.545066192753426,2.850318727448234,,0.0,13545066.192753429,1000000.0,12545066.192753429,0.0,0.0,0.0
2004,2021-12-31,-0.1515615220996675,-0.0065887430877451,2.6774844119487375,1.243133600027205,-0.1836074557764906,-0.1585586162630516,3677484.4119487377,841441.3837369484,2677484.4119487377,-158558.61626305166,-42.783111842146745,-0.0042783111842146
2005,2021-12-31,-0.0768538268868899,-0.0210030275777381,2.077425841257968,1.0957584724196634,-0.2390825679988355,-0.1928415141295559,3077425.841257968,807158.485870444,2077425.841257968,-192841.51412955596,-107.56132168967416,-0.0107561321689674
2006,2021-12-31,-0.1688831524119354,-0.0393939005813648,1.3008206257050472,0.8227547511389081,-0.4126374463925644,-0.288337009758937,2300820.6257050475,711662.990241063,1300820.6257050473,-288337.00975893706,-305.7676441509383,-0.0305767644150938
2007,2021-12-31,-0.0608280637670446,-0.026510558544444,0.5111644447580885,0.4180136580883195,-0.3102892894052017,-0.2134892149678348,1511164.4447580886,786510.7850321652,511164.44475808856,-213489.2149678348,-189.8384869765389,-0.0189838486976538
2008,2021-12-31,-0.1067200894687949,-0.0501725554340586,1.1018890620555792,0.7843642676167373,-0.4059617247029715,-0.2561967326352602,2101889.0620555794,743803.2673647398,1101889.0620555792,-256196.7326352602,-296.36782859801554,-0.0296367828598015
2009,2021-12-31,-0.0537237546699407,-0.0024179197357261,0.3041479279738694,0.4963686012918407,-0.0170835353296404,-0.0025954775632842,1304147.9279738695,997404.5224367158,304147.9279738695,-2595.477563284265,3.459262918531135,0.0003459262918531
2010,2021-12-31,-0.9649336807210492,-0.2305812166099681,0.5561712413270286,0.6199626836282217,1.2755079058035352,0.5935545253717065,1556171.2413270287,1593554.5253717066,556171.2413270286,593554.5253717065,856.9222540967339,0.0856922254096734
2011,2021-12-31,-1.1751935195934835,-0.3601112352102358,1.521481379603045,1.467528124401828,0.996648907710452,0.7164045351485011,2521481.379603045,1716404.5351485012,1521481.379603045,716404.5351485012,1128.480195241577,0.1128480195241576
2012,2021-12-31,-0.7029377910742247,-0.9045168368610368,4.845299356232732,3.05531123322249,0.0464056473474599,0.0233644396906433,5845299.356232732,1023364.4396906432,4845299.356232732,23364.43969064339,168.7869624595388,0.0168786962459538
2013,2021-12-31,-0.3895291410008186,-0.8179928745976561,12.169268345435894,4.857062851968209,0.1294274344355071,0.066503463554318,13169268.345435891,1066503.463554318,12169268.345435891,66503.46355431802,282.23526793280485,0.0282235267932804
2014,2021-12-31,-0.0979721190693898,-0.6801589738462799,12.105006309199592,5.2164322934348,0.2024629766581759,0.0903831450546979,13105006.309199592,1090383.145054698,12105006.309199592,90383.14505469792,328.3630666978869,0.0328363066697886
2015,2021-12-31,0.0762108564719704,-0.4309485226174483,19.89179898782375,7.29978866860722,1.0654746697379445,0.5707237650822965,20891798.98782375,1570723.7650822964,19891798.98782375,570723.7650822964,1309.421684147043,0.1309421684147043
2016,2021-12-31,0.1398970012011396,-0.4209583937775778,9.834963008298663,6.964168765233379,1.395211608174174,0.7611811911105526,10834963.008298663,1761181.1911105528,9834963.008298663,761181.1911105526,1775.2790296818632,0.1775279029681863
2017,2021-12-31,0.2858576831356445,-0.3324672877388555,8.763347226287184,8.84322472877827,2.3578123872610997,1.382584059993822,9763347.226287184,2382584.059993822,8763347.226287184,1382584.059993822,2941.6207971377207,0.294162079713772
2018,2021-12-31,0.4241549896969635,-0.2488562178417321,5.316214553615316,10.279518954269124,1.5642447917545752,0.6669084187715275,6316214.553615316,1666908.4187715277,5316214.553615316,666908.4187715275,2028.4224384728896,0.2028422438472889
2019,2021-12-31,0.2455351143700416,-0.9817940245323432,3.4678407007045973,9.061471029990862,0.56443853041687,0.1874332481369984,4467840.700704597,1187433.2481369984,3467840.7007045974,187433.24813699847,925.9192569298324,0.0925919256929832
