Train Start,Train End,Val R2,Test R2,Validation Cumulative Return,Validation Sharpe Ratio,Test Sharpe,Test Return,Final Val Capital,Final Test Capital,Total Val Profit,Total Test Profit,Average PnL,Average PnL (%)
1990,2021-12-31,0.3390819012025363,0.170588598705898,14.641617591867366,9.042002740046051,6.818872765201435,2.4637832057982165,15641617.591867369,3463783.2057982166,14641617.591867369,2463783.2057982166,5049.089080747616,0.5049089080747616
1991,2021-12-31,0.3430229248136923,0.1655339764137485,14.332799865397307,8.928189851251393,6.897754140451538,2.5019829815408983,15332799.865397308,3501982.9815408983,14332799.865397308,2501982.9815408983,5092.818384664941,0.5092818384664941
1992,2021-12-31,0.3461848664657082,0.1724268480860101,14.949865616779665,9.153472409501658,6.874158421068638,2.486779252397135,15949865.616779665,3486779.252397135,14949865.616779665,2486779.252397135,5075.3207554913815,0.5075320755491382
1993,2021-12-31,0.3490030933176088,0.1786125201282467,15.278904306337688,9.252258639442836,6.943417610954025,2.5187468752374356,16278904.306337686,3518746.8752374356,15278904.306337686,2518746.8752374356,5111.645951249244,0.5111645951249244
1994,2021-12-31,0.3499161414354417,0.1721845520272749,15.348772530574571,9.269546878456357,6.855633075228007,2.476512298509368,16348772.530574571,3476512.2985093677,15348772.530574571,2476512.2985093677,5063.511146804145,0.5063511146804145
1995,2021-12-31,0.3519318737674612,0.1896749665431968,15.5841896406085,9.317408203201522,6.953378596864019,2.5596773786960494,16584189.6406085,3559677.3786960496,15584189.6406085,2559677.3786960496,5159.177837795736,0.5159177837795736
1996,2021-12-31,0.3540598888674522,0.1969510079876278,15.747789515181935,9.33446099672277,7.032841588838705,2.62256309813037,16747789.515181934,3622563.09813037,15747789.515181934,2622563.09813037,5229.901348722395,0.5229901348722396
1997,2021-12-31,0.3512071736584155,0.179831468678569,16.28989195242172,9.494047973534505,6.950262078214273,2.56219898412954,17289891.952421717,3562198.98412954,16289891.95242172,2562198.98412954,5162.159548005059,0.516215954800506
1998,2021-12-31,0.3308063562615947,0.1549181487112164,15.15981891385723,9.113744257266704,6.868723507993805,2.5119055038814886,16159818.913857227,3511905.5038814885,15159818.913857227,2511905.5038814885,5105.067664186192,0.5105067664186191
1999,2021-12-31,0.3213094044778447,0.133574208992848,15.652381211500272,9.235153225582163,6.946928318480592,2.536496965454223,16652381.211500274,3536496.965454223,15652381.211500274,2536496.965454223,5132.339741410814,0.5132339741410814
2000,2021-12-31,0.3060605122646017,0.1241392101981366,14.11534699858296,8.87737829456167,7.0127743343186,2.5695300387943396,15115346.99858296,3569530.0387943396,14115346.99858296,2569530.0387943396,5169.43823561933,0.516943823561933
2001,2021-12-31,0.1908016201653422,0.1009188095866102,11.934082373482733,8.197214855860068,6.904669207826662,2.5177182661490636,12934082.37348273,3517718.2661490636,11934082.37348273,2517718.2661490636,5111.182864130841,0.5111182864130841
2002,2021-12-31,0.1460829645213713,0.0672223521097832,10.924045033654146,7.961882335102117,6.211843470990369,2.205271989090975,11924045.033654146,3205271.989090975,10924045.033654146,2205271.989090975,4741.281954662944,0.4741281954662944
2003,2021-12-31,0.1214474414515476,0.0633649335061001,10.27661749811022,7.661767297575451,6.386987036657283,2.275939612451085,11276617.498110222,3275939.612451085,10276617.498110222,2275939.612451085,4827.630793946004,0.4827630793946004
2004,2021-12-31,0.1164916944772106,0.0709740526271345,10.490349023140794,7.68983215372437,6.425051090086962,2.257471347811005,11490349.023140794,3257471.347811005,10490349.023140794,2257471.347811005,4803.430633359856,0.4803430633359856
2005,2021-12-31,0.1100465682513974,0.0470115963921711,10.178592104637731,7.61978546002807,6.3074308025146815,2.21103534680236,11178592.104637733,3211035.34680236,10178592.104637733,2211035.34680236,4746.582287680549,0.4746582287680548
